title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
"Military WWII German Pin Badges (3), Nat. Soc.","May 14, 2021",$175,,Internet Bid,Rich Penn Auctions,https://p1.liveauctioneers.com/406/198025/100070619_1_x.jpg?quality=80&version=1620838470,https://www.liveauctioneers.com/item/100070619_military-wwii-german-pin-badges-3-nat-soc,https://www.liveauctioneers.com/auctioneer/406/rich-penn-auctions/
World War two German Belt Buckle,"Apr 10, 2021",$150,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,Dave Taylor's Civil War Antiques Online Auctions,https://p1.liveauctioneers.com/6568/197785/100134657_1_x.jpg?quality=80&version=1616372492,https://www.liveauctioneers.com/item/100134657_world-war-two-german-belt-buckle,https://www.liveauctioneers.com/auctioneer/6568/dave-taylor-s-civil-war-antiques-online-auctions/
"LARGE GERMAN WW2 NAZI BANNER, FLAG w. SWASTIKA","Apr 17, 2021",$380,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271694_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271694_large-german-ww2-nazi-banner-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
LARGE GERMAN WW2 NAZI PODIUM FLAG w. SWASTIKA,"Apr 17, 2021",,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271695_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271695_large-german-ww2-nazi-podium-flag-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
GERMAN WWII NAZI NSDAP BANNER w. SWASTIKA,"Apr 17, 2021",$260,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271696_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271696_german-wwii-nazi-nsdap-banner-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
RARE GERMAN WWII NAZI NSDAP BANNER w. SWASTIKA,"Apr 17, 2021",$420,Collectibles > Militaria &amp; War Memorabilia,Internet Bid,V.N. Collectible,https://p1.liveauctioneers.com/6038/198415/100271697_1_x.jpg?quality=80&version=1616599820,https://www.liveauctioneers.com/item/100271697_rare-german-wwii-nazi-nsdap-banner-w-swastika,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/
WWII German SS 12 Year Service Swastika medal with,"Apr 01, 2021",$140,"Collectibles > Coins, Currency &amp; Stamps",Competing Bid,Embassy Auctions International,https://p1.liveauctioneers.com/1250/198550/100330261_1_x.jpg?quality=80&version=1616618555,https://www.liveauctioneers.com/item/100330261_wwii-german-ss-12-year-service-swastika-medal-with,https://www.liveauctioneers.com/auctioneer/1250/embassy-auctions-international/
WWII GERMAN NAZI PARTY SWASTIKA ENAMEL STICKPIN,"Apr 17, 2021",$20,,Internet Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/193233/100350673_1_x.jpg?quality=80&version=1617038501,https://www.liveauctioneers.com/item/100350673_wwii-german-nazi-party-swastika-enamel-stickpin,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
WWII GERMAN NAZI PARTY SWASTIKA ENAMEL STICKPIN,"Apr 17, 2021",$30,,Internet Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/193233/100350674_1_x.jpg?quality=80&version=1617038501,https://www.liveauctioneers.com/item/100350674_wwii-german-nazi-party-swastika-enamel-stickpin,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
WWII GERMAN NAZI PARTY SWASTIKA ENAMEL GILDED STICKPIN,"Apr 17, 2021",$45,,Internet Bid,Beachwood Auctions LLC,https://p1.liveauctioneers.com/6717/193233/100350675_1_x.jpg?quality=80&version=1617038501,https://www.liveauctioneers.com/item/100350675_wwii-german-nazi-party-swastika-enamel-gilded-stickpin,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/
