nazi_listings,auctioneer_url,lat,lng,address,city,zip,state
4791,https://www.liveauctioneers.com/auctioneer/368/affiliated-auctions/,30.4289,-84.2395,2500 Apalachee Parkway,Tallahassee,32301,FL
4465,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/,45.4169,-122.642,10824 SE Oak Street Suite 177,Portland,97222,OR
3804,https://www.liveauctioneers.com/auctioneer/1011/universal-live/,42.121927,-87.839958,3005 Commercial,Northbrook,60062,IL
3047,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/,41.6774,-81.4062,38198 Willoughby Parkway,Willoughby,44094,OH
1592,https://www.liveauctioneers.com/auctioneer/6202/rare-treasures/,40.292,-76.8072,7 Rutherford Rd.,Harrisburg,17109,PA
1139,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/,39.5273,-75.8121,98 Bohemia Avenue Suite Two,Chesapeake City,21915,MD
776,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/,33.3092,-111.821,,Chandler,85225,AZ
657,https://www.liveauctioneers.com/auctioneer/1022/mohawk-arms-inc/,42.89075157,-75.54610203,6819 U.S. 20 PO Box 157,Bouckville,13310,NY
412,https://www.liveauctioneers.com/auctioneer/1225/martin-auction-co/,37.4645,-89.2228,100 Lick Creek Road PO Box 2,Anna,62906,IL
377,https://www.liveauctioneers.com/auctioneer/1409/arus-auctions/,42.3482,-71.5544,39 Ledgewood Rd ,Framingham,1701,MA
330,https://www.liveauctioneers.com/auctioneer/6717/beachwood-auctions-llc/,41.3535,-81.4753,7630 Bond Street,SOLON,44139,OH
329,https://www.liveauctioneers.com/auctioneer/6038/vn-collectible/,48.99,-122.727,1927 Boblett Street,Blaine,98230,WA
285,https://www.liveauctioneers.com/auctioneer/6975/antique-arena-inc/,40.5855,-73.9607,2910 Coney Island Ave 1st Floor,Brooklyn,11235,NY
225,https://www.liveauctioneers.com/auctioneer/2431/omega-auction-corp/,25.8576,-80.3161,1669 W. 39th Place,Hialeah,33012,FL
206,https://www.liveauctioneers.com/auctioneer/1215/smrj-auctions/,34.047024,-118.253142,606 South Hill Street Suite 607,Los Angeles,90014,CA
189,https://www.liveauctioneers.com/auctioneer/2228/arcollectibles/,42.0382,-72.5604,Springfield,Springfield,1108,MA
159,https://www.liveauctioneers.com/auctioneer/7440/fairhill-auction-llc/,39.6101,-75.824,227 E Main St,ELKTON,21921,MD
140,https://www.liveauctioneers.com/auctioneer/249/dan-morphy-auctions/,40.2204,-76.1017,2000 N Reading Road,Denver,17517,PA
137,https://www.liveauctioneers.com/auctioneer/902/old-toy-soldier-auctions-usa/,40.3747,-80.0703,P.O. Box 13323,Pittsburgh,15243,PA
122,https://www.liveauctioneers.com/auctioneer/4979/helios-auctions/,40.7581,-73.9655,1050 Second Avenue Gallery # 52,New York,10022,NY
120,https://www.liveauctioneers.com/auctioneer/6629/south-florida-auction-and-estate-sale-services-inc/,33.9887,-83.898,PO Box 2330,Dacula,30019,GA
94,https://www.liveauctioneers.com/auctioneer/2770/imperial-auction/,26.5042,-81.8583,PO BOX 101083,CAPE CORAL,33910,FL
